Date;Return_incD;Return_excD
19280416;0.003839;0.003766
19280417;-0.007481;-0.007481
19280418;-0.000089;-0.000089
19280419;0.005152;0.005152
19280420;-0.013395;-0.013604
19280423;-0.008389;-0.008389
19280424;0.005283;0.005266
19280425;0.006218;0.005975
19280426;0.007784;0.007589
19280427;0.009541;0.009407
19280428;0.002501;0.002501
19280430;0.000224;0.000176
19280501;0.001614;0.001215
19280502;0.00236;0.00236
19280503;0.004453;0.004453
19280504;0.013343;0.013219
19280507;0.008183;0.008183
19280508;-0.005356;-0.005562
19280509;-0.000104;-0.000104
19280510;-0.001986;-0.002074
19280511;0.00662;0.006551
19280514;0.002872;0.002872
19280515;-0.002249;-0.00261
19280516;-0.015829;-0.015829
19280517;0.002903;0.002903
19280518;-0.006996;-0.009238
19280521;-0.013737;-0.013737
19280522;-0.013541;-0.013541
19280523;0.018858;0.018858
19280524;0.005399;0.005399
19280525;0.001509;0.000914
19280528;-0.015529;-0.015529
19280529;0.010888;0.010888
19280531;0.009438;0.008681
19280601;0.005071;0.003677
19280602;0.006476;0.006476
19280604;-0.019997;-0.019997
19280605;0.002301;0.002301
19280606;-0.009102;-0.009102
19280607;-0.00232;-0.00232
19280608;-0.012613;-0.012841
19280609;-0.012137;-0.012137
19280611;-0.021612;-0.021657
19280612;-0.016461;-0.016461
19280613;0.028821;0.028614
19280614;0.00764;0.007597
19280615;-0.013633;-0.014495
19280616;0.001071;0.001071
19280618;-0.018986;-0.019213
19280619;-0.003563;-0.003631
19280620;0.014134;0.014059
19280621;-0.00097;-0.00097
19280622;-0.001343;-0.001425
19280623;-0.006376;-0.006376
19280625;0.002563;0.002412
19280626;0.010552;0.010552
19280627;0.010252;0.009995
19280628;0.009643;0.009643
19280629;0.005156;0.004218
19280630;0.002292;0.002292
19280702;-0.011611;-0.011611
19280703;0.015787;0.015746
19280705;0.009327;0.009327
19280706;-0.004243;-0.004343
19280707;0.002871;0.002871
19280709;0.000072;-0.000031
19280710;-0.001508;-0.001508
19280711;-0.023206;-0.023337
19280712;-0.007085;-0.007188
19280713;0.008142;0.007703
19280714;-0.001415;-0.001415
19280716;-0.013238;-0.01351
19280717;0.005119;0.005119
19280718;0.011067;0.011067
19280719;-0.002103;-0.002103
19280720;0.002113;0.001897
19280721;-0.002788;-0.002788
19280723;0.006737;0.006737
19280724;-0.000404;-0.00056
19280725;0.005561;0.005561
19280726;0.001327;0.001327
19280727;0.009332;0.009089
19280728;0.002732;0.002732
19280730;-0.000092;-0.000092
19280731;-0.001615;-0.001664
19280801;-0.000438;-0.000935
19280802;-0.00472;-0.004756
19280803;0.0003;0.0003
19280804;0.002698;0.002698
19280806;0.007443;0.007443
19280807;-0.002881;-0.002881
19280808;-0.011228;-0.011514
19280809;0.001101;0.001101
19280810;-0.00298;-0.003322
19280811;0.00188;0.00188
19280813;-0.000138;-0.000138
19280814;-0.008437;-0.008437
19280815;0.016253;0.016232
19280816;0.007506;0.007487
19280817;0.003965;0.002793
19280818;0.003338;0.003338
19280820;0.002028;0.001859
19280821;0.011538;0.011538
19280822;0.001118;0.001118
19280823;-0.000545;-0.000574
19280824;0.015235;0.014668
19280825;0.004919;0.004919
19280827;-0.003283;-0.003283
19280828;0.007482;0.007482
19280829;0.002361;0.002361
19280830;0.001866;0.001383
19280831;0.012224;0.011179
19280901;0.000207;0.000207
19280904;0.005271;0.005271
19280905;0.00403;0.00403
19280906;-0.005906;-0.005929
19280907;0.006685;0.006084
19280908;-0.003318;-0.003318
19280910;-0.004851;-0.004943
19280911;0.007377;0.007377
19280912;0.003862;0.003736
19280913;-0.001071;-0.001128
19280914;-0.000146;-0.000247
19280915;0.004952;0.004952
19280917;0.004372;0.004372
19280918;-0.006901;-0.007085
19280919;0.000308;0.000308
19280920;0.001033;0.000888
19280921;0.005447;0.005107
19280922;-0.004501;-0.004501
19280924;0.007863;0.007863
19280925;-0.001202;-0.001336
19280926;-0.000519;-0.000519
19280927;-0.010637;-0.010637
19280928;-0.000289;-0.000931
19280929;0.010494;0.010494
19281001;-0.001819;-0.002056
19281002;-0.004632;-0.004632
19281003;-0.003218;-0.003255
19281004;0.001673;0.001673
19281005;-0.00367;-0.003763
19281006;-0.001419;-0.001419
19281008;-0.002859;-0.002859
19281009;0.00275;0.00275
19281010;0.010466;0.010377
19281011;0.004925;0.004581
19281013;0.005737;0.005737
19281015;0.001341;0.00115
19281016;0.003147;0.003111
19281017;0.003344;0.003344
19281018;0.00171;0.00171
19281019;0.005793;0.005487
19281020;-0.005158;-0.005158
19281022;-0.00079;-0.00079
19281023;0.005624;0.005624
19281024;0.00239;0.002372
19281025;-0.003512;-0.003512
19281026;-0.010169;-0.010385
19281027;0.009358;0.009358
19281029;0.005125;0.005125
19281030;-0.009097;-0.009097
19281031;-0.002928;-0.003131
19281101;0.013793;0.013426
19281102;-0.001412;-0.001412
19281103;0.001634;0.001634
19281105;0.011163;0.011131
19281107;0.011157;0.011157
19281108;-0.003912;-0.004185
19281109;0.008531;0.008199
19281110;0.009088;0.009088
19281112;0.003495;0.003448
19281113;0.002921;0.002921
19281114;-0.000256;-0.000256
19281115;0.004323;0.003804
19281116;0.01671;0.01449
19281117;0.000919;0.000919
19281119;0.000065;0.000065
